"id" "y" "x"
"1" 1 19 16.51
"2" 2 165 71.34
"3" 3 196 125.52
"4" 4 192 105.79
"5" 5 235 89.41
"6" 6 124 61.32
"7" 7 38 21.14
"8" 8 156 114.45
"9" 9 40 53.27
"10" 10 553 321.54
"11" 11 38 18.43
"12" 12 358 199.94
"13" 13 55 26.55
"14" 14 230 130.75
"15" 15 157 85.52
"16" 16 63 28.09
"17" 17 39 27.19
"18" 18 3 33.65
"19" 19 104 50.25
"20" 20 9 8.62
"21" 21 393 207.03
"22" 22 43 42.05
"23" 23 51 35.17
"24" 24 65 30.41
"25" 25 422 410.31
"26" 26 24 34.47
"27" 27 11 8.19
"28" 28 112 64.1
"29" 29 88 79.76
"30" 30 161 127.44
"31" 31 90 106.39
"32" 32 250 152.07
"33" 33 4 12.25
"34" 34 14 7.57
"35" 35 138 81.58
"36" 36 853 442.33
"37" 37 337 262.84
"38" 38 74 32.37
"39" 39 61 35.47
"40" 40 117 143.66
"41" 41 102 74.41
"42" 42 153 96.32
"43" 43 28 35.35
"44" 44 148 208.68
"45" 45 297 211.06
"46" 46 32 32.24
"47" 47 235 275.52
"48" 48 116 47.4
"49" 49 305 228.27
"50" 50 34 30.4
"51" 51 563 260.34
"52" 52 14 9.12
"53" 53 80 129.68
"54" 54 819 482.27
"55" 55 73 54.42
"56" 56 81 104.75
"57" 57 102 196.55
"58" 58 734 286.47
"59" 59 131 93.68
"60" 60 43 19.28
"61" 61 68 58.36
"62" 62 107 57.61
"63" 63 54 30.35
"64" 64 43 26.72
"65" 65 161 170.9
"66" 66 16 20.41
"67" 67 97 36.52
"68" 68 32 11.26
"69" 69 75 75.22
"70" 70 58 27.83
"71" 71 37 70.48
"72" 72 172 135.37
"73" 73 168 163.84
"74" 74 62 74.77
"75" 75 23 26.7
"76" 76 3 1.43
"77" 77 33 30.23
"78" 78 84 46.62
"79" 79 35 18.67
"80" 80 501 309.39
"82" 81 27 28.25
"83" 82 20 11.03
"86" 83 316 162.69
"87" 84 195 122.05
"88" 85 374 216.44
"89" 86 202 167
"90" 87 303 163.23
"91" 88 203 113.97
"92" 89 91 73.84
"93" 90 40 37.9
"94" 91 233 159.03
"95" 92 160 117.03
"96" 93 11 6.97
"97" 94 20 11.07
"98" 95 69 35.5
"99" 96 4 5.91
"100" 97 284 193.12
"101" 98 316 184.05
"102" 99 58 37.97
"103" 100 89 71.74
"104" 101 254 172.6
"105" 102 9 7.83
"106" 103 19 9.19
"107" 104 368 286.29
"108" 105 30 16.16
"109" 106 137 101.72
"110" 107 78 74.15
"111" 108 70 134.86
"112" 109 23 17.05
"113" 110 35 53.67
"114" 111 7 4.34
"115" 112 120 251.78
"116" 113 124 114.45
"117" 114 188 173.18
"118" 115 150 78.07
"119" 116 17 47.25
"120" 117 96 68.25
"121" 118 66 51.5
"122" 119 73 92
"123" 120 8 1.44
"124" 121 3 3.95
"125" 122 256 145.3
"126" 123 597 449.48
"127" 124 87 181.93
"128" 125 20 14.32
"129" 126 101 54.99
"130" 127 115 108.06
"131" 128 285 240.16
"132" 129 134 65.43
"133" 130 96 67.73
"135" 131 71 48.9
"136" 132 139 70.48
"137" 133 246 135.5
"138" 134 80 70.54
"139" 135 260 115.67
"140" 136 156 138.3
"141" 137 567 290.8
"142" 138 79 46.52
"143" 139 36 19.7
"144" 140 264 184.69
