"id" "ST1"
"1" 400 1
"2" 294 1
"3" 476 1
"4" 183 1
"5" 570 1
"6" 896 1
"7" 398 1
"8" 521 1
"9" 518 1
"10" 788 1
"11" 497 1
"12" 190 1
"13" 622 1
"14" 824 1
"15" 698 1
"16" 776 1
"17" 503 1
"18" 103 1
"19" 924 1
"20" 16 1
"21" 339 1
"22" 773 1
"23" 238 2
"24" 789 2
"25" 292 2
"26" 608 2
"27" 852 2
"28" 884 2
"29" 878 2
"30" 733 2
"31" 181 2
"32" 342 2
"33" 470 2
"34" 478 2
"35" 449 2
"36" 843 2
"37" 437 2
"38" 923 2
"39" 28 2
"40" 544 2
"41" 262 2
"42" 144 2
"43" 566 2
"44" 285 2
"45" 122 3
"46" 807 3
"47" 649 3
"48" 609 3
"49" 168 3
"50" 522 3
"51" 905 3
"52" 53 3
"53" 439 3
"54" 880 3
"55" 684 3
"56" 349 3
"57" 179 3
"58" 193 3
"59" 539 3
"60" 634 3
"61" 40 3
"62" 882 3
"63" 938 3
"64" 88 3
"65" 298 3
"66" 106 3
"67" 273 3
"68" 65 4
"69" 434 4
"70" 172 4
"71" 346 4
"72" 36 4
"73" 436 4
"74" 21 4
"75" 98 4
"76" 893 4
"77" 269 4
"78" 533 4
"79" 97 4
"80" 25 4
"81" 149 4
"82" 210 4
"83" 980 4
"84" 325 4
"85" 913 4
"86" 86 4
"87" 797 4
"88" 432 4
"89" 87 4
"90" 745 4
