Appendix D  -  The CO124 population

Data concerning a population of 124 countries (the CO124 population) 
are given in the following table.  

The columns in the table are:
LABEL:		The countries are labelled from 1 to 124.
COUNTRY:	The abbrievations are those of the International 
                Olympic Committee (except for a few countries).
P83:	1983 population (in millions).
IMP:    1983 imports (millions of US  $).
EXP:	1983 exports (millions of US  $).
GNP:	1982 gross national product (tens of millions of US $). 
MEX:	1981 military expenditures (millions of  US  $).
P80:	1980 population (in millions).
CONT:	1 = Africa,  2 = America, North & Central  3 =  South  America, 
        4 = Asia (non-Soviet part),  5 = Europe (non-Soviet part),  
	6 = Oceania and 7 = USSR


======================================================================
LABEL	COUNTRY	P83	IMP	EXP	GNP	MEX	P80	CONT
======================================================================
 1	ALG	20.5	10395	11163	4535	675	18.7	1
 2	BEN	3.7	131	63	122	23	3.4	1
 3	BUR	6.6	288	57	135	41	6.1	1
 4	BRI	4.4	194	76	122	23	4.1	1
 5	CMR	9.1	1217	940	715	82	8.5	1
 6	CAF	2.4	127	109	76	12	2.3	1
 7	CHA	4.7	109	58	36	62	4.5	1
 8	CGO	1.6	807	977	234	68	1.5	1
 9	EGY	45.9	10274	3215	3425	1650	42.3	1
10	ETH	33.6	875	403	465	485	31.1	1
11	GAB	1.1	724	2161	330	72	1	1
12	GHA	12.2	705	873	416	110	11.5	1
13	GUI	5.1	351	428	172	44	4.8	1
14	CIV	9.3	1808	2067	822	111	8.2	1
15	KEN	18.7	1274	876	698	183	16.7	1
16	LBR	2	422	464	99	16	1.8	1
17	LBA	3.3	8382	15576	2712	3670	3	1
18    	MAD	9.7	540	316	299	71	8.7	1
19	MAW	6.4	312	230	136	22	6	1
20	MLI	7.5	344	167	123	46	7	1
21	MTN	1.8	227	305	81	82	1	1
22	MRI	.9	438	373	123	2	.9	1
23	MAR	21.1	3599	2062	1758	1005	20.1	1
24	MOZ	13.3	635	132	465	111	12.1	1
25	NIG	5.7	442	333	178	16	5.3	1
26	NGR	89	13440	11317	7722	2037	80.6	1
27	RWA	5.7	279	79	144	18	5.2	1
28	SLE	3.4	171	119	123	19	3.3	1
29	SOM	5.2	330	199	212	150	4.6	1
30	SAF	31.8	14528	9671	8234	2254	28.6	1
31	SUD	20.3	1354	624	935	470	18.7	1
32	TOG	2.7	391	177	95	22	2.5	1
33	TUN	6.8	3117	1872	922	214	6.4	1
34	UGA	14.6	293	345	325	852	13.2	1
35	TAN	20.3	4552	1900	535	285	18.6	1
36	ZAI	31.1	480	569	558	164	26.4	1
37	ZAM	6.2	690	831	386	290	5.8	1
38	ZIM	7.7	1430	1115	640	440	7.1	1
39	CAN	24.9	61325	73797	27909	4227	24	2
40	CRC	2.4	993	867	266	19	2.2	2
41	CUB	10	6293	5536	1740	1065	9.7	2
42	DOM	5.9	1282	811	767	92	5.4	2
43	ESA	5.2	891	735	356	86	4.7	2
44	GUA	7.9	1126	1184	870	95	6.9	2
45	HAI	5.3	461	154	158	22	5	2
46	HON	4	767	692	262	38	3.7	2
47	JAM	2.2	1531	745	300	29	2.2	2
48	MEX	75.1	8201	21012	19635	782	69.3	2
49	NCA	3	799	411	262	34	2.7	2
50	PAN	2	1412	304	415	22	2	2
51	TRI	1.1	2505	2379	772	12	1.1	2
52	USA	233.9	269878	200538	305690	134390	227.7	2
53	ARG	29.6	4486	7836	8949	2241	28.2	3
54	BOL	6	532	789	539	84	5.6	3
55	BRA	129.6	14494	26906	27474	1234	121.3	3
56	CHI	11.6	2754	3836	2516	225	11.1	3
57	COL	27.5	4968	3081	3819	229	27.1	3
58	ECU	9.2	1465	2203	1288	92	8.1	3
59	GUY	.9	283	256	47	27	.9	3
60	PAR	3.4	506	284	573	40	3.2	3
61	PER	18.7	2688	3015	2204	480	17.3	3
62	URU	2.9	788	1045	1001	150	2.9	3
63	VEN	15.1	6667	15002	6907	527	15	3
64	AFG	14.5	695	708	315	85	14.5	4
65	BRN	.4	3342	3200	375	115	.3	4
66	BAN	94.6	1716	690	1288	140	88.7	4
67	BIR	35.3	268	378	650	225	33.6	4
68	CHN	1024	21324	22151	30250	37200	1002.8	4
69	CYP	.6	1219	494	239	19	.6	4
